point,step,Privacy cost
5,0,3.5937766056787224e-05
5,200,0.0008324889766729
5,500,0.0008324944350879
5,700,0.0008324922515283
5,900,0.0008324930456556
5,1200,0.0008324922515283
5,1400,0.0008324932440906
5,1600,0.0008324904652259
5,1900,0.0008324916562232
5,2100,0.0008324922515283
5,2300,6.969425037084419e-12
5,2600,0.0008324899692352
5,2800,6.969425037084419e-12
5,3000,0.0008324918546583
5,3300,0.0008324918546583
5,3500,0.0008324910609182
5,3700,2.6903889104035184e-05
5,4000,0.0010406150200974
5,4200,9.098971576193549e-12
5,4400,9.098971576193549e-12
5,4600,9.098971576193549e-12
5,4900,0.0010406162604614
5,5100,4.14874384846442e-10
5,5300,9.098971576193549e-12
5,5600,0.0010406146480075
5,5800,0.0010406125389821
5,6000,1.9536266354647225e-08
5,6300,0.0010406152680927
5,6500,9.057573385068408e-05
5,6700,9.098971576193549e-12
5,7000,9.098971576193549e-12
5,7200,7.163020177003432e-12
5,7400,7.163020177003432e-12
5,7700,0.0012718636506106
5,7900,7.163020177003432e-12
5,8100,0.0012718666830849
5,8400,0.0012718633474406
5,8600,0.0012718622861521
5,8800,7.163020177003432e-12
5,9100,7.163020177003432e-12
5,9300,0.001271863044077
